titulo,url,precio_pesos,precio_dolar,precio_dolar_blue,fecha
MEJOR QUE EN LAS PELICULAS,https://cuspide.com/producto/mejor-que-en-las-peliculas/,14800.0,17.41,12.93,2024-02-10
COMETIERRA 10 EDIC,https://cuspide.com/producto/cometierra-10-edic/,16500.0,19.41,14.41,2024-02-10
EL PSICOANALISTA EN LA MIRA,https://cuspide.com/producto/el-psicoanalista-en-la-mira/,30299.0,35.65,26.46,2024-02-10
EL MAGO DEL KREMLIN,https://cuspide.com/producto/el-mago-del-kremlin/,21800.0,25.65,19.04,2024-02-10
CUENTOS COMPLETOS ( EDICION REVISADA Y ACTUALIZADA ),https://cuspide.com/producto/cuentos-completos-edicion-revisada-y-actualizada/,25999.0,30.59,22.71,2024-02-10
EL GATO QUE AMABA LOS LIBROS,https://cuspide.com/producto/el-gato-que-amaba-los-libros/,16799.0,19.76,14.67,2024-02-10
EL DIA QUE DEJO DE NEVAR EN ALASKA,https://cuspide.com/producto/el-dia-que-dejo-de-nevar-en-alaska/,22100.0,26.0,19.3,2024-02-10
OXIDO,https://cuspide.com/producto/oxido/,29999.0,35.29,26.2,2024-02-10
EL HECHIZO DEL VERANO,https://cuspide.com/producto/el-hechizo-del-verano/,16500.0,19.41,14.41,2024-02-10
BLANCURA,https://cuspide.com/producto/blancura/,10899.0,12.82,9.52,2024-02-10
LA VOZ DE NADIE,https://cuspide.com/producto/la-voz-de-nadie/,10000.0,11.76,8.73,2024-02-10
MALDITA ROMA (SERIE JULIO CESAR 2),https://cuspide.com/producto/maldita-roma-serie-julio-cesar-2/,39599.0,46.59,34.58,2024-02-10
ESTRELLAS DEL MUNDIAL,https://cuspide.com/producto/estrellas-del-mundial/,11399.0,13.41,9.96,2024-02-10
2. HARRY POTTER Y LA CAMARA SECRETA ( BOLSILLO ),https://cuspide.com/producto/2-harry-potter-y-la-camara-secreta-bolsillo/,13999.0,16.47,12.23,2024-02-10
Y A TI QUE TE PICA ?,https://cuspide.com/producto/y-a-ti-que-te-pica/,24900.0,29.29,21.75,2024-02-10
LA SANGRE DEL PADRE,https://cuspide.com/producto/la-sangre-del-padre/,23000.0,27.06,20.09,2024-02-10
EL NERVIO OPTICO,https://cuspide.com/producto/el-nervio-optico/,18400.0,21.65,16.07,2024-02-10
LA HERMANDAD DE LAS MALAS HIJAS,https://cuspide.com/producto/la-hermandad-de-las-malas-hijas/,24899.0,29.29,21.75,2024-02-10
LA VIDA INVISIBLE DE ADDIE LARUE,https://cuspide.com/producto/la-vida-invisible-de-addie-larue/,15000.0,17.65,13.1,2024-02-10
ESTAS PARA MAS,https://cuspide.com/producto/estas-para-mas/,16900.0,19.88,14.76,2024-02-10
EL HOMBRE MAS RICO DE BABILONIA,https://cuspide.com/producto/el-hombre-mas-rico-de-babilonia/,12100.0,14.24,10.57,2024-02-10
LO NUESTRO FUE REAL,https://cuspide.com/producto/lo-nuestro-fue-real/,12799.0,15.06,11.18,2024-02-10
UN VECINO ANORMAL  : Y EL LADRON DEL CHOCOLATE,https://cuspide.com/producto/un-vecino-anormal-y-el-ladron-del-chocolate/,8999.0,10.59,7.86,2024-02-10
LOS VESTIDOS APONI - STICKERS,https://cuspide.com/producto/los-vestidos-aponi-stickers/,11199.0,13.18,9.78,2024-02-10
EL DIARIO DE LA ABUELA RITA,https://cuspide.com/producto/el-diario-de-la-abuela-rita/,8199.0,9.65,7.16,2024-02-10
